Player ID,Player Name,Player Team,Player Age,Player Height,Mins Played,tacklePerGame,interceptionPerGame,foulsPerGame,clearancePerGame,wasDribbledPerGame,goal,assistTotal,shotsPerGame,keyPassPerGame,dribbleWonPerGame,foulGivenPerGame,offsideGivenPerGame,dispossessedPerGame,turnoverPerGame,totalPassesPerGame,passSuccess,accurateCrossesPerGame,accurateLongPassPerGame,accurateThroughBallPerGame,xG,xGPerNinety,totalShots,xGPerShot,rating
0,Lamine Yamal,Barcelona,17,180,1885,1.3,0.5,0.8,0.1,0.4,5,11,3.6,2,4.1,1.9,0.5,1.4,2.7,35.4,78,0.6,0.8,0.4,7.38,0.35,82,0.09,7.96
1,Mohamed Salah,Liverpool,32,175,2485,0.6,0.1,0.6,0.2,0.2,25,17,3.6,2.3,1.8,1.2,0.4,1.9,3,30.1,73.7,0.5,0.8,0.2,20.84,0.75,101,0.21,7.89
2,Harry Kane,Bayern,31,188,1738,0.3,0.1,0.4,0.3,0.1,21,6,3.7,1.2,0.9,0.8,0.6,0.7,1.4,20.4,81.1,0.2,1.4,0.5,18.32,0.95,82,0.22,7.86
3,Ousmane Dembele,PSG,27,178,1373,0.5,0.4,0.3,0,0.3,18,5,3.3,2.3,1.7,0.6,0.3,1.1,1.6,34.5,83.7,1.3,1.1,0.2,13.08,0.86,73,0.18,7.85
4,Bukayo Saka,Arsenal,23,178,1276,1.4,0.1,0.8,0.4,0.6,5,10,2.9,2.6,2.1,2,0.2,2.2,1.5,27.1,84.3,1.9,0.3,0.1,4.79,0.34,46,0.1,7.79
5,Raphinha,Barcelona,28,176,2135,1.1,0.2,0.3,0.7,0.5,13,7,3.2,2.8,1.5,1,0.3,1,1.5,35.4,77.9,1.5,1.4,0.1,14.05,0.59,83,0.17,7.72
6,Florian Wirtz,Leverkusen,21,177,1868,1.2,0.3,0.7,0.2,0.5,9,10,2.8,2,3,1.4,0.4,1.6,1.8,53.5,82.8,0.4,1,0.5,9.79,0.47,66,0.15,7.7
7,Jamal Musiala,Bayern,22,184,1558,1.5,0.3,0.8,0.2,0.7,11,2,2.8,1.8,3,2.3,0,1.3,2.7,38.7,83.6,0,0.5,0.3,9.23,0.53,59,0.16,7.66
8,Kylian Mbappe,Real Madrid,26,178,2080,0.3,0,0.8,0,0.1,17,3,4.4,1.5,2.5,1,1.4,1.2,2.4,32.2,85.4,0.2,1.4,0.2,18.08,0.78,106,0.17,7.64
9,Michael Olise,Bayern,23,184,1558,1.1,0.3,0.6,0.3,0.5,8,7,2.2,2.2,2.1,1.8,0.1,0.9,1.6,40.2,86.4,1,0.5,0.4,6.99,0.4,53,0.13,7.58
10,Achraf Hakimi,PSG,26,181,1631,2.1,1.4,0.8,0.6,0.9,4,5,1.4,2.3,1.2,1.1,0.3,0.7,1.6,78.7,91.1,0.7,1.3,0.1,3.15,0.17,26,0.12,7.49
11,Mason Greenwood,Marseille,23,181,2040,1.3,0.3,0.7,0.2,0.8,15,3,3.6,1.3,1.8,1.2,0.1,1.4,1.6,39.2,83.6,0.8,2,0.2,12.88,0.57,86,0.15,7.47
12,Alexander Isak,Newcastle,25,192,1984,0.5,0.1,0.8,0.5,0.3,19,5,2.8,1.5,1.4,0.5,0.7,1.8,2,20.2,75.5,0.1,0.5,0.1,15.11,0.69,68,0.22,7.47
13,Tim Kleindienst,Borussia M.Gladbach,29,194,2028,0.9,0.4,2.7,2,1,14,5,2.8,0.9,0.5,0.9,0.8,1.6,2.6,23.8,63,0,0.4,0.2,13.97,0.62,64,0.22,7.45
14,Cole Palmer,Chelsea,22,185,2375,0.7,0.3,0.4,0.4,0.4,14,6,3.6,2.6,1.3,2,0.2,1,1.8,36.2,82.3,1.1,2.6,0.3,13.82,0.52,97,0.14,7.43
